word,cefr
ihre,A1
aller,A1
gewählt,A1
beträgt,A1
zog,A1
ganz,A1
zuvor,A1
weiterhin,A1
ehemaligen,A1
stelle,A1
mehreren,A1
gelang,A1
länge,A1
rahmen,A1
gleichen,A1
musik,A1
erst,A1
heutigen,A1
zwischen,A1
setzte,A1
liegen,A1
strecke,A1
einmal,A1
machen,A1
den,A1
direkt,A1
hälfte,A1
viel,A1
new,A1
ob,A1
reihe,A1
insgesamt,A1
kilometer,A1
sommer,A1
könig,A1
weg,A1
tage,A1
wie,A1
buch,A1
europa,A1
würde,A1
doch,A1
folgte,A1
fall,A1
machte,A1
stand,A1
sollten,A1
1990,A1
aufgrund,A1
zahl,A1
1999,A1
krieg,A1
sogar,A1
lediglich,A1
fläche,A1
18,A1
erfolg,A1
nie,A1
bezeichnung,A1
karriere,A1
regel,A1
kaum,A1
eher,A1
beim,A1
sollen,A1
ursprünglich,A1
cm,A1
stammt,A1
zeitpunkt,A1
teile,A1
keinen,A1
burg,A1
norden,A1
gebaut,A1
nächsten,A1
weit,A1
darunter,A1
arbeiten,A1
werke,A1
hohen,A1
mm,A1
frankreich,A1
schrieb,A1
arten,A1
heute,A1
hilfe,A1
ihr,A1
wollte,A1
veröffentlichte,A1
lage,A1
nachdem,A1
hinter,A1
serie,A1
allerdings,A1
verfügung,A1
heraus,A1
wien,A1
bisher,A1
besitzt,A1
leicht,A1
kehrte,A1
12,A1
aufgenommen,A1
1998,A1
raum,A1
außerdem,A1
befand,A1
zweiten,A1
einzige,A1
region,A1
ehe,A1
anzahl,A1
insel,A1
erreichen,A1
6,A1
40,A1
nimmt,A1
gesamte,A1
16,A1
bruder,A1
14,A1
später,A1
linie,A1
eltern,A1
gemeinsam,A1
bald,A1
süden,A1
männer,A1
mussten,A1
metern,A1
isbn,A1
1997,A1
dadurch,A1
dar,A1
seiten,A1
uhr,A1
einzelnen,A1
entwickelte,A1
daraufhin,A1
politischen,A1
beispielsweise,A1
jeder,A1
seien,A1
alle,A1
fanden,A1
beide,A1
dritten,A1
führen,A1
sprache,A1
hohe,A1
nähe,A1
staaten,A1
the,A1
verbunden,A1
km²,A1
nichts,A1
man,A1
bietet,A1
gehören,A1
alte,A1
1996,A1
partei,A1
ebenso,A1
25,A1
wenige,A1
vor,A1
erster,A1
team,A1
größte,A1
and,A1
schloss,A1
denn,A1
selben,A1
umfasst,A1
johann,A1
gefunden,A1
1995,A1
größten,A1
ausbildung,A1
einige,A1
frühen,A1
entwickelt,A1
teil,A1
wohl,A1
1994,A1
1991,A1
schweiz,A1
mindestens,A1
beginnt,A1
museum,A1
besitz,A1
weltkrieg,A1
verloren,A1
13,A1
1993,A1
westen,A1
deutsche,A1
stieg,A1
gemeinden,A1
vollständig,A1
ersetzt,A1
1992,A1
peter,A1
kunst,A1
osten,A1
darüber,A1
oben,A1
welches,A1
anlage,A1
minuten,A1
schnell,A1
truppen,A1
8,A1
trägt,A1
neun,A1
dazu,A1
bild,A1
gegensatz,A1
verbindung,A1
soldaten,A1
gehen,A1
macht,A1
österreich,A1
deshalb,A1
literatur,A1
obwohl,A1
betrug,A1
spielt,A1
ii,A1
zahlreichen,A1
spiele,A1
1989,A1
produktion,A1
sodass,A1
gmbh,A1
hielt,A1
anschließend,A1
bildet,A1
brachte,A1
genommen,A1
erfolgreich,A1
gestellt,A1
erfolgt,A1
hoch,A1
gemacht,A1
laufe,A1
anschließend,A1
schwer,A1
darüber,A1
version,A1
versucht,A1
wahl,A1
leben,A1
galt,A1
vorhanden,A1
schiff,A1
zerstört,A1
weitere,A1
zeitschrift,A1
relativ,A1
gruppen,A1
entfernt,A1
indem,A1
friedrich,A1
lebten,A1
kind,A1
zeigen,A1
gründung,A1
begriff,A1
bahnhof,A1
sieht,A1
turm,A1
firma,A1
möglichkeit,A1
bevor,A1
wiederum,A1
zentrum,A1
gleichzeitig,A1
monate,A1
geführt,A1
eingestellt,A1
verlassen,A1
vertrag,A1
wochen,A1
weitgehend,A1
gesamten,A1
großer,A1
angaben,A1
aktiv,A1
ausschließlich,A1
wäre,A1
vermutlich,A1
gründete,A1
hätte,A1
regelmäßig,A1
heinrich,A1
bestehen,A1
dagegen,A1
selten,A1
besten,A1
a,A1
fest,A1
liga,A1
überwiegend,A1
erzielte,A1
1988,A1
60,A1
7,A1
ländern,A1
weise,A1
verkauft,A1
karl,A1
diente,A1
durchgeführt,A1
größere,A1
mitarbeiter,A1
könnte,A1
frankfurt,A1
internationalen,A1
tiere,A1
boden,A1
nur,A1
besuchte,A1
zwei,A1
verlor,A1
funktion,A1
john,A1
maria,A1
200,A1
öffentlichen,A1
landes,A1
hand,A1
eröffnet,A1
stunden,A1
größe,A1
staffel,A1
geld,A1
einfluss,A1
system,A1
französischen,A1
1933,A1
bleibt,A1
dadurch,A1
armee,A1
frage,A1
bilden,A1
halten,A1
geben,A1
künstler,A1
vom,A1
politik,A1
projekt,A1
inzwischen,A1
hamburg,A1
heiratete,A1
